tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
831,45:26.8,59:18.0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,441,E 52 St & 2 Ave,40.756014,-73.967416,20985,Subscriber,1993,1
731,45:56.2,58:07.2,72,W 52 St & 11 Ave,40.76727216,-73.99392888,484,W 44 St & 5 Ave,40.75500254,-73.98014437,30623,Subscriber,1992,2
347,55:56.1,01:43.2,72,W 52 St & 11 Ave,40.76727216,-73.99392888,479,9 Ave & W 45 St,40.76019252,-73.9912551,28932,Subscriber,1987,1
807,15:54.2,29:21.9,72,W 52 St & 11 Ave,40.76727216,-73.99392888,72,W 52 St & 11 Ave,40.76727216,-73.99392888,20886,Subscriber,1964,1
391,49:33.9,56:05.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,500,Broadway & W 51 St,40.76228826,-73.98336183,31282,Subscriber,1958,1
403,03:37.2,10:21.1,72,W 52 St & 11 Ave,40.76727216,-73.99392888,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,16900,Subscriber,1979,1
272,04:43.6,09:16.2,72,W 52 St & 11 Ave,40.76727216,-73.99392888,478,11 Ave & W 41 St,40.76030096,-73.99884222,26859,Subscriber,1965,1
911,19:34.5,34:45.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,446,W 24 St & 7 Ave,40.74487634,-73.99529885,28317,Subscriber,1968,1
604,19:40.7,29:45.5,72,W 52 St & 11 Ave,40.76727216,-73.99392888,490,8 Ave & W 33 St,40.751551,-73.993934,20886,Subscriber,1990,1
2123,38:40.0,14:03.5,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3435,Grand St & Elizabeth St,40.718822,-73.99596,32652,Subscriber,1959,2
1259,48:34.9,09:34.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,426,West St & Chambers St,40.71754834,-74.01322069,21207,Subscriber,1956,1
588,29:12.7,39:01.3,72,W 52 St & 11 Ave,40.76727216,-73.99392888,484,W 44 St & 5 Ave,40.75500254,-73.98014437,32743,Subscriber,1970,1
1511,34:22.4,59:33.9,72,W 52 St & 11 Ave,40.76727216,-73.99392888,297,E 15 St & 3 Ave,40.734232,-73.986923,27280,Subscriber,1995,1
827,49:18.3,03:05.7,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3224,W 13 St & Hudson St,40.73997354,-74.00513873,32977,Subscriber,1973,1
